id,class,user,n_markers,x_mean,x_std,x_min,x_max,y_mean,y_std,y_min,y_max,z_mean,z_std,z_min,z_max,l_mean,l_std,l_min,l_max,ang_mean,ang_std,ang_min,ang_max,area_mean,area_std,area_min,area_max,conv_hull_vol,conv_hull_cx,conv_hull_cy,conv_hull_cz
3282,2,0,10,56.8184,29.7408,-6.5961,99.2078,88.194,44.792,14.0955,148.5019,-12.8206,47.2453,-87.1838,46.2797,125.1315,25.2179,91.5046,165.5577,2.409,0.4933,1.4811,3.0619,4422.377,2714.8588,652.4358,10245.8251,187293.4687,52.8552,74.1638,-17.5879
8878,5,0,7,52.0072,18.0774,12.8045,72.6538,80.4336,35.9358,17.3213,129.2694,-60.8624,35.7066,-109.9441,-11.5536,123.8973,20.5219,94.482,161.7599,2.549,0.3048,1.9112,3.0138,3908.2251,1581.6665,1091.0813,5904.5411,183614.8185,45.5063,70.3794,-53.2546
6305,4,0,7,28.6222,26.1706,-7.7114,61.0726,91.9448,35.7579,40.3319,144.8925,-55.3366,19.3987,-95.1009,-34.1566,117.9236,27.7322,85.813,162.324,2.6681,0.2776,2.185,3.1055,2824.6317,1609.5856,305.0031,6409.4535,109510.6456,25.4496,79.2128,-49.3544
3675,3,0,5,68.9346,16.1916,53.8968,96.7806,54.6411,50.3663,5.8958,135.8403,-65.5095,24.2066,-91.2501,-34.0201,122.7405,18.6756,96.5262,151.214,2.5262,0.3852,2.0633,3.0591,4117.829,2703.5662,652.4804,8389.5478,76307.8389,57.4455,45.5342,-54.5912
8591,5,0,9,46.3095,28.2998,-18.2557,76.9453,94.3985,34.9329,24.182,133.5503,-49.6331,32.4326,-99.6375,0.5292,127.3269,19.4937,94.7962,161.0684,2.5462,0.286,1.9067,2.9975,4184.8487,1552.1269,1142.0302,6814.2101,347874.5635,41.6786,84.9586,-44.6697
233,1,0,4,65.3932,19.3474,35.2662,85.787,51.7054,26.7526,11.8998,82.0191,-65.6077,7.5536,-71.4914,-52.73,110.4578,14.1505,92.8621,131.2625,2.7005,0.2003,2.3476,2.98,2427.074,816.51,1204.0148,3433.5509,26403.6941,52.3145,41.3643,-52.4862
3191,2,0,10,55.328,34.8983,-3.3067,101.7812,84.4894,41.0573,14.3627,144.2015,-9.6233,48.3039,-85.4512,47.6192,122.3999,23.3962,90.6298,164.6977,2.3703,0.5049,1.4092,3.0672,4444.0326,2591.1659,571.0329,10234.4789,182989.1712,49.8708,70.2788,-15.0055
332,1,0,5,63.7891,17.5235,36.0559,86.6431,55.4262,25.5558,11.112,81.7233,-65.4308,7.0011,-71.4234,-53.4091,110.7771,12.6469,93.2526,131.6818,2.7427,0.1899,2.3505,2.974,2229.9725,790.6751,1252.6849,3450.926,28388.6626,53.1576,46.1885,-54.5257
8431,5,0,8,26.8554,35.6137,-19.6907,75.0186,108.1584,12.8311,88.5534,126.7984,-48.2193,24.0195,-79.4072,-14.901,127.8938,19.9414,96.8866,159.6118,2.6854,0.1888,2.286,2.9487,3448.6676,1304.7812,1251.3233,6104.4296,171546.7427,23.8714,96.1408,-42.8616
2528,2,0,10,37.2837,30.5406,-8.664,92.404,106.591,43.9728,12.8069,161.9918,-16.2557,32.9749,-81.9337,19.2096,127.607,26.1933,89.6237,167.5512,2.5471,0.4573,1.5501,3.1069,3825.228,2491.2458,206.4745,9654.7014,126581.5017,40.4953,95.9428,-20.656
4916,3,0,5,66.5399,9.7788,55.0547,81.1915,79.0536,38.1457,23.6706,138.3937,-50.1474,18.5446,-66.949,-25.5101,121.2515,19.6081,93.177,151.8511,2.6686,0.2336,2.2221,2.9791,3184.4565,1482.375,1224.304,5626.3184,38509.6832,55.4499,65.878,-41.7895
1071,1,0,3,70.2664,8.2505,59.6493,79.7658,32.4594,23.6374,2.1758,59.8595,-78.1655,5.2078,-83.7335,-71.2067,111.9043,15.2369,92.9148,130.2192,2.836,0.1216,2.6833,2.9809,1794.5987,640.9602,1172.5819,2676.6292,534.8909,52.6998,24.3445,-58.6241
3431,3,0,5,69.5834,16.1313,54.0948,96.6041,54.0848,50.2674,4.652,134.6782,-65.5147,23.2838,-91.6422,-35.4203,122.6634,18.4945,96.5289,150.5477,2.5342,0.3884,2.0638,3.0846,4058.6542,2717.3417,451.6622,8293.2384,63783.4538,57.9861,45.0707,-54.5956
6170,4,0,7,18.3197,22.3299,-13.4883,49.9585,84.929,35.776,32.1219,133.5662,-65.3002,17.1762,-97.1493,-43.671,114.7321,26.8846,82.6885,157.5267,2.6899,0.2591,2.2256,3.1299,2586.8062,1457.3692,92.7641,5929.5898,97239.3807,17.5696,75.897,-56.1898
2705,2,0,10,39.261,32.2985,-7.036,92.7901,109.4974,37.9287,41.8832,161.5006,-15.7804,34.0563,-81.1717,21.1549,129.8103,23.8964,92.0411,167.3151,2.5908,0.4002,1.7817,3.0929,3928.8443,2616.7687,294.741,9625.9061,120550.9339,37.8446,98.3129,-16.6548
2158,2,0,10,62.5084,28.3498,14.3314,98.1948,108.8551,31.269,55.8116,153.5767,2.2131,38.7084,-71.1554,38.9118,135.8192,24.3839,100.8933,174.1656,2.6398,0.3416,1.9136,3.0917,4029.0891,2494.9796,350.6241,9436.7584,155670.731,56.8258,98.9592,2.0119
372,1,0,5,62.5615,18.8186,30.6251,85.4026,54.921,25.4313,10.8147,80.5959,-66.9228,5.8151,-73.267,-59.2304,110.8352,12.6171,93.0698,131.5888,2.7364,0.1905,2.3472,2.9739,2267.6844,803.5653,1253.2688,3472.7346,33831.2437,52.1346,45.7675,-55.769
1312,1,0,5,33.2072,30.1901,-9.8366,76.0151,78.4643,15.9058,47.7022,90.7098,-48.4711,15.432,-71.33,-30.5956,104.405,10.5352,87.4922,114.6375,2.6385,0.2526,2.1295,2.9334,2520.1807,1103.5519,1000.5314,4252.4649,25526.3825,27.6727,65.3869,-40.3926
1662,1,0,7,41.1148,32.3425,-10.8314,85.4228,60.9802,27.2102,20.1927,91.2752,-47.8157,27.3756,-73.2655,6.4274,95.9113,32.1285,25.2833,133.3458,2.4597,0.3481,1.6834,2.975,2292.2519,1151.7454,650.371,4565.5195,86227.0179,33.7572,49.0317,-40.0533
890,1,0,4,61.8699,18.8379,32.5036,82.5659,46.1362,26.7457,6.2019,76.2207,-72.5374,6.7768,-79.1428,-61.9089,110.1874,13.891,93.1695,130.851,2.7038,0.1936,2.3584,2.9746,2405.2586,779.8483,1231.9373,3399.591,27830.062,49.4959,36.909,-58.0299
3931,3,0,5,69.2622,14.2487,56.1238,94.8076,53.4102,50.6135,7.0058,134.9662,-66.3143,26.0414,-95.0107,-32.3356,123.0612,18.6103,96.7065,151.1506,2.5304,0.3985,2.0856,3.0466,4119.5142,2810.1849,541.6671,8580.0843,74337.523,57.7185,44.5085,-55.2619
1916,2,0,10,57.4935,26.9742,11.671,96.6555,98.0994,38.0915,27.8997,154.05,-7.5055,43.3637,-72.881,35.9169,128.1736,24.8158,96.0213,173.5197,2.5193,0.4119,1.7096,3.112,4200.1418,2497.0289,261.7194,9391.1575,163437.853,52.2668,89.1813,-6.8232
4969,3,0,5,66.0834,9.6926,56.3889,80.4649,74.8964,39.6429,17.4823,136.0876,-56.2659,18.4998,-73.0827,-29.9024,121.5466,19.4039,93.9491,152.0897,2.6487,0.2423,2.1926,2.975,3308.0983,1499.0935,1255.0782,5807.1492,50430.5693,55.0695,62.4136,-46.8882
1938,2,0,10,63.7849,27.5821,12.0882,97.3999,101.8763,40.2952,27.3104,154.4414,-10.0357,41.6768,-71.1106,34.8514,134.121,26.096,95.844,173.9015,2.5322,0.3903,1.7066,3.0962,4473.2885,2414.1002,315.1525,9352.6964,166291.1161,57.9863,92.6148,-9.1234
2208,2,0,10,63.1458,27.6614,11.8537,96.5889,102.0623,39.467,28.9031,153.6589,-8.0688,43.1077,-71.6106,37.2127,134.0885,25.8951,96.8609,173.6317,2.528,0.3951,1.6988,3.0951,4500.2944,2464.4192,321.7296,9455.7571,171413.7062,55.0938,96.4548,-1.0236
7633,5,0,10,39.7123,32.4533,-12.2118,78.675,98.066,30.6164,32.1437,135.6874,-33.2344,36.835,-89.2818,16.7716,123.6075,19.1603,93.3656,160.4226,2.4975,0.3023,1.7968,2.9851,4235.1582,1555.347,1211.6436,6726.3815,370152.3796,36.1021,89.1509,-30.2131
1237,1,0,6,41.0756,33.1077,-9.087,85.4656,79.8289,14.5496,50.1833,93.2668,-50.2962,18.7069,-73.6867,-24.8053,109.7054,14.5619,87.9098,134.2181,2.6422,0.261,2.1306,2.9759,2708.5423,1208.7903,926.1095,4639.726,37693.7539,35.2077,68.4247,-43.111
7234,5,0,10,41.3261,32.286,-10.3616,79.2393,95.1509,31.9221,26.6275,132.6816,-39.097,36.0097,-96.5661,10.2398,123.6066,19.2257,93.8829,160.6764,2.4973,0.3042,1.7957,3.0041,4235.8292,1571.2809,1162.3347,6723.4574,365439.3685,37.5692,86.5008,-35.5427
6437,4,0,7,23.0573,22.6658,-10.0225,54.1329,91.0104,35.8649,37.4418,141.7066,-57.8543,18.9237,-95.7971,-35.4931,116.5512,27.1219,84.5113,160.0835,2.6862,0.2665,2.1863,3.1099,2675.8299,1514.686,259.9021,6178.2376,103768.8926,19.7558,78.5871,-51.4889
7412,5,0,10,38.6773,31.7988,-10.8439,78.3584,100.399,34.0231,29.0404,138.8474,-41.3089,32.9117,-93.1203,9.7595,126.8448,21.0864,93.4758,160.3236,2.5312,0.3052,1.8013,2.9999,4188.9207,1544.9579,1121.3325,6712.4737,333413.5799,35.1611,91.2718,-37.5536
2119,2,0,10,58.1884,26.7245,12.9587,96.3511,98.0976,37.729,28.6562,153.5676,-6.0213,44.1813,-72.3863,37.7471,128.522,24.8406,96.385,174.2452,2.5182,0.4135,1.7028,3.105,4223.4065,2510.9807,326.0165,9463.2669,166244.8656,50.1423,92.5272,1.0406
8175,5,0,10,38.3555,33.4337,-16.503,78.865,107.9783,24.4096,60.5681,140.3332,-32.2091,33.7501,-88.4624,14.4583,129.1669,18.3439,98.3786,161.6449,2.5818,0.251,1.9844,2.9888,4161.887,1515.5786,1272.6361,6841.9219,357340.4666,34.8686,98.1621,-29.281
8771,5,0,10,40.7311,32.0111,-16.1525,75.7067,96.1176,32.9167,25.6031,135.176,-41.9813,34.2574,-96.7025,5.8493,124.5698,20.596,93.6916,161.3197,2.5151,0.3083,1.7896,3.002,4143.0994,1544.738,1175.6548,6874.0001,349256.7532,37.0283,87.3796,-38.1648
5488,4,0,7,21.2496,24.0404,-12.9984,52.9684,86.206,35.6008,34.4172,136.5664,-64.823,17.3216,-97.5315,-43.4384,116.0579,27.5862,83.5402,159.9704,2.6891,0.2589,2.2256,3.1093,2648.4447,1494.2936,261.4964,6017.4213,102211.9215,20.433,77.0928,-55.7276
528,1,0,5,61.6629,18.1199,32.5423,85.6312,51.6811,25.599,7.4665,78.4232,-70.2552,5.5372,-75.3978,-61.6009,110.7808,12.2861,93.4994,131.1285,2.7387,0.1861,2.3607,2.9693,2259.7183,789.654,1275.7401,3451.9414,34940.5313,50.281,37.9673,-57.0635
3239,2,0,10,59.5068,30.8959,-4.8337,101.5958,86.7973,44.5497,12.6052,145.2866,-11.0132,47.3878,-86.132,46.4429,125.4677,25.275,91.0615,165.5215,2.4043,0.4915,1.4763,3.0623,4483.78,2719.8428,655.5872,10310.833,185746.5018,57.473,74.9691,-14.996
2481,2,0,10,45.5988,28.7245,-5.2448,91.8779,98.0311,47.3388,12.7326,162.6973,-26.909,35.0454,-82.4863,9.4893,126.5996,26.081,92.1643,168.3191,2.4971,0.4469,1.5873,3.0835,4104.8429,2572.5742,497.9632,9700.3045,131516.8258,44.8767,85.5294,-28.8468
2200,2,0,10,57.2345,26.4315,12.165,92.3756,104.3356,38.4177,28.866,153.4752,1.0181,38.4588,-72.2262,36.809,130.7329,26.9309,97.2721,173.9244,2.5783,0.4121,1.6981,3.1169,3831.3276,2263.6123,218.9414,8598.2556,157665.6057,52.0314,94.8506,0.9256
7047,5,0,10,45.0137,31.9377,-13.5424,79.7633,94.7149,33.2121,25.1734,137.8971,-40.0035,35.7339,-96.5754,9.1577,124.7737,20.7107,94.1624,160.4637,2.5022,0.3104,1.7822,3.0071,4231.544,1552.739,1101.8161,6866.4715,383348.278,40.9216,86.1045,-36.3668
4900,3,0,5,65.8114,10.2565,53.1109,79.5485,79.4502,38.0467,23.8276,138.5156,-50.2413,17.9889,-67.163,-26.1789,121.1,19.4626,93.2558,151.4486,2.67,0.2335,2.2204,2.9925,3165.2503,1475.7928,1123.8785,5623.5312,43554.3786,54.8428,66.2085,-41.8678
5950,4,0,7,19.9991,23.3143,-12.9577,52.16,86.8352,35.6692,34.6763,135.5989,-64.8012,17.1765,-96.8462,-42.9134,116.1865,27.406,83.2364,159.318,2.6921,0.2564,2.2424,3.1141,2632.9143,1462.5967,226.2675,5993.0568,100426.2825,19.3445,77.2175,-55.9223
6464,4,0,7,22.6989,23.0844,-9.5604,54.7692,90.5474,35.2238,39.7432,140.9567,-58.5517,17.5413,-92.5927,-38.0603,116.115,27.2211,84.4471,159.9312,2.696,0.2586,2.2207,3.1252,2602.7806,1447.2333,133.8948,5871.8863,94636.084,19.5158,78.0495,-52.2975
8163,5,0,10,44.5334,29.0257,-14.1858,79.4851,99.9583,34.3758,27.6839,138.5479,-43.5733,32.8574,-97.9311,8.1268,128.861,19.2915,94.3629,161.6174,2.5511,0.2779,1.9072,2.9917,4266.6349,1536.1337,1132.9785,6878.2159,365481.9069,40.4849,90.8712,-39.6121
1077,1,0,3,70.4318,8.0614,59.7054,79.1399,33.2507,23.757,2.9245,60.9373,-77.8653,5.1279,-83.6309,-71.1731,112.0373,15.2502,92.9457,130.2713,2.8356,0.1207,2.6827,2.9778,1802.7068,635.7939,1198.9307,2681.6058,853.6699,52.8239,24.938,-58.399
4614,3,0,5,65.7962,13.6752,51.4744,89.8817,64.645,42.909,11.6446,133.8057,-66.6172,20.189,-89.0293,-37.8183,122.5007,19.3734,94.621,151.2109,2.6167,0.2927,2.1719,3.0525,3609.0001,2079.9782,704.9837,6739.768,58753.9814,54.8302,53.8709,-55.5143
4780,3,0,5,66.3766,10.9289,54.5964,83.0981,81.2605,37.3641,26.7196,139.4036,-46.3202,20.4355,-69.2602,-20.5854,121.3051,19.3104,93.9306,151.4779,2.6587,0.2365,2.2079,2.9693,3237.3124,1466.1269,1298.8237,5718.764,48992.3523,55.3139,67.7171,-38.6002
4687,3,0,5,63.9766,10.9,50.6033,79.8325,75.6336,39.7382,18.153,136.7534,-54.9531,16.9308,-70.343,-31.2613,120.2051,19.1988,93.0184,150.5727,2.6475,0.2451,2.1843,2.9718,3247.2653,1505.2756,1246.1809,5726.014,43232.2844,53.3138,63.028,-45.7942
7351,5,0,10,39.2057,32.0492,-10.5217,78.0909,107.1633,24.3422,58.7755,138.0025,-35.2985,34.2857,-96.8025,8.9847,129.3481,18.2021,99.5094,160.3741,2.5909,0.2504,2.0024,3.0041,4121.3849,1548.5589,1163.0804,6707.467,340308.3609,35.6416,97.4212,-32.0896
4787,3,0,5,66.8347,9.8274,55.3766,82.2332,80.9158,37.1866,26.7318,138.9126,-46.236,20.0225,-65.6277,-20.4018,121.04,19.536,92.9245,151.3775,2.6685,0.2314,2.2271,2.9709,3175.0342,1456.1527,1282.7743,5572.0039,41862.2539,55.6956,67.4298,-38.53
9023,5,0,8,40.1287,26.9485,-19.0266,69.3241,83.701,33.0277,21.4744,133.3722,-49.4261,38.5209,-103.1892,4.4437,118.0044,20.8557,94.0576,159.5482,2.4662,0.3417,1.7825,2.9902,3896.8488,1468.363,1079.0778,5684.0938,259210.0956,35.6699,74.4009,-43.9343
5480,4,0,7,20.9615,23.9128,-13.1068,52.9713,86.7939,36.0016,34.6838,137.5475,-64.5947,17.2653,-97.4153,-43.3633,116.3438,27.8418,83.6449,160.5073,2.6889,0.2587,2.2282,3.1131,2661.6691,1501.238,232.7737,6072.3073,103678.3234,20.1799,77.6035,-55.5358
7618,5,0,10,37.2166,30.2188,-10.5715,77.0907,102.1688,33.2399,31.3607,139.5652,-35.0282,35.7542,-87.7681,14.7983,126.1352,20.9013,93.4876,160.1276,2.5224,0.3098,1.7999,2.9988,4195.5778,1547.7449,1123.4384,6660.3258,327744.3438,33.8333,92.8808,-31.8438
1524,1,0,6,41.7921,32.8923,-8.3942,85.9974,77.4027,14.8437,47.3724,91.0423,-51.6403,18.8939,-73.5965,-26.3668,108.8192,14.9023,86.522,133.9169,2.6385,0.262,2.1239,2.9838,2676.3474,1189.6467,994.1326,4573.0814,40994.7707,35.8218,66.3451,-44.2631
960,1,0,5,60.8568,17.3156,33.0888,82.0983,46.7355,25.2028,2.8125,72.6438,-73.8105,5.2156,-81.5661,-66.1024,110.2145,12.2768,93.1315,130.4311,2.75,0.1863,2.3657,2.9774,2170.9531,772.0955,1202.91,3380.0706,29145.391,50.714,38.9463,-61.5087
1900,2,0,10,62.3272,28.4476,12.7691,97.1378,96.3227,36.1654,27.2705,151.4927,-10.8202,41.707,-72.667,35.9896,128.5238,24.8624,96.3196,173.82,2.5299,0.3943,1.6976,3.0957,4154.489,2306.2352,319.8165,8680.1155,161332.7118,56.6611,87.5661,-9.8365
8077,5,0,9,32.0919,34.9357,-21.9748,77.1655,113.8399,23.7364,74.5446,144.2549,-9.4103,29.5458,-78.1329,28.7813,127.9681,18.9476,99.009,161.021,2.5993,0.2492,1.9977,2.9556,3954.0593,1474.6618,1445.9687,6560.2427,341451.0412,28.8827,102.4559,-8.4693
6302,4,0,7,28.8625,26.2096,-7.4756,60.7414,91.8141,35.6719,40.5282,145.1246,-55.278,19.509,-94.6877,-33.371,117.8597,27.7062,86.0934,162.4619,2.6675,0.2788,2.1816,3.1049,2822.0993,1607.952,309.1668,6352.4366,107474.1698,27.4109,81.4651,-47.067
3509,3,0,5,69.1687,14.5297,54.9758,94.0298,53.7944,50.2226,3.3338,134.057,-66.3431,23.5364,-93.5065,-36.1658,122.5901,18.4012,96.6072,150.5525,2.54,0.3899,2.0623,3.0816,4021.0697,2715.0711,472.7851,8195.3161,52942.963,57.6406,44.8286,-55.286
6200,4,0,7,17.5213,22.3705,-14.5121,48.9643,87.9958,36.179,33.9583,137.0487,-63.6726,17.3004,-95.9919,-42.3614,116.033,27.3762,83.8798,159.5244,2.6934,0.2598,2.2173,3.1317,2614.0005,1473.9833,81.2065,6004.5573,97653.5625,16.8379,78.6341,-54.7198
296,1,0,5,63.5866,17.8027,35.3181,86.3312,55.1524,25.6607,10.6512,81.7769,-65.9844,6.8031,-72.1765,-54.5205,110.923,12.5207,93.5162,131.6226,2.7395,0.1908,2.3484,2.9792,2252.2838,801.7202,1214.34,3479.8896,31404.7104,52.1144,40.7501,-53.6172
2973,2,0,10,54.0563,34.9488,-5.2972,99.9264,84.5547,42.7791,12.3387,143.8968,-13.8916,47.3851,-89.2857,42.0152,122.5144,23.4858,91.6261,164.8047,2.3663,0.5062,1.4151,3.0579,4470.7009,2608.4412,662.1201,10307.3439,196892.308,48.9419,69.9727,-18.729
6239,4,0,7,17.4007,21.9952,-14.4123,48.6703,88.485,36.2414,34.2276,137.6593,-63.0467,17.3319,-96.318,-43.1151,115.9787,27.4559,83.867,159.4129,2.6964,0.2581,2.2169,3.1134,2601.369,1472.9313,228.9143,6065.1262,99573.6962,14.8294,76.6862,-56.1379
5118,3,0,8,44.5359,30.0825,-10.6278,80.2555,69.5578,35.3238,17.3332,135.4585,-48.1582,24.1627,-71.3159,6.3689,103.2849,34.7814,28.1586,152.7661,2.5157,0.3047,1.7313,2.9737,2551.8868,1276.9202,877.7208,5585.437,150217.1198,39.5874,61.8292,-42.8073
3255,2,0,10,53.6426,34.9244,-4.2713,100.5586,85.0107,42.6157,12.9996,146.847,-13.0534,46.7964,-86.5687,43.1866,122.2683,23.472,90.7469,165.3493,2.3687,0.5025,1.415,3.0433,4444.3554,2562.4599,610.9071,10225.8863,195882.934,51.4195,72.7699,-16.7203
4085,3,0,5,57.7836,2.8052,54.7937,62.2261,73.0911,40.4957,13.1355,134.5072,-63.2774,19.6315,-81.3953,-35.701,119.9274,18.3267,95.5192,151.5586,2.6309,0.2435,2.1679,2.951,3335.4199,1465.64,1503.9371,5985.9038,59116.5743,48.153,60.9093,-52.7311
898,1,0,4,61.253,18.9949,31.4127,81.5408,46.591,26.7901,6.6447,76.7946,-72.9185,6.6245,-79.8415,-62.5782,110.3278,13.782,93.3218,130.8518,2.7029,0.1948,2.3575,2.9771,2417.8771,795.695,1212.8046,3424.3623,27720.5576,49.0024,37.2728,-58.3348
3577,3,0,5,70.6775,15.366,55.4628,97.2671,53.8726,50.3358,3.7862,134.6399,-64.6458,23.7243,-90.6964,-33.799,122.7612,18.4118,96.8924,150.7439,2.5335,0.3878,2.0588,3.0631,4074.1707,2707.6428,620.0619,8286.3354,63710.7035,58.8979,44.8938,-53.8715
2386,2,0,10,39.6295,32.4531,-7.062,90.5121,95.7372,43.6601,13.3637,160.0885,-24.7989,37.6319,-83.2839,19.2562,123.3952,22.3669,94.2412,160.9981,2.4581,0.4611,1.5633,3.0899,4165.9074,2486.3664,348.172,9752.9135,140871.315,38.1944,83.1016,-26.6703
3034,2,0,10,51.148,34.4691,-6.2013,100.5117,85.1089,43.2988,12.1147,143.8405,-7.9764,50.3928,-87.7381,49.0615,122.4921,22.8316,91.7402,165.369,2.3436,0.5226,1.4132,3.0735,4558.8979,2661.5876,564.8513,10328.0527,202906.6848,47.9225,73.2514,-11.716
4122,3,0,5,60.1095,4.7603,54.2741,65.8089,71.2453,41.4364,11.5304,134.6045,-65.1205,21.3203,-84.8855,-35.3629,121.6045,18.337,96.2016,151.4794,2.6176,0.2573,2.1466,2.9504,3511.8139,1607.9184,1434.0583,6111.5471,51868.7401,50.0912,59.3711,-54.2671
6784,4,0,6,27.2916,18.7421,-5.8166,51.8388,100.6228,30.2366,60.7757,140.1801,-50.212,13.9822,-69.8122,-30.0671,118.5325,28.321,84.1781,159.1426,2.8158,0.179,2.4425,3.1308,1982.7933,858.1886,88.079,3304.6554,36333.6146,23.3928,86.2481,-43.0389
6338,4,0,7,28.2796,25.5481,-7.8848,59.8787,92.993,36.3295,41.3022,147.5384,-54.3172,19.985,-94.5512,-32.0136,118.2917,27.8714,86.3167,163.23,2.6652,0.2782,2.1789,3.1038,2857.6416,1618.4787,321.2728,6406.6369,111242.6221,26.6046,82.8046,-45.872
1380,1,0,6,41.1262,32.4283,-7.9038,84.1829,80.6095,14.8294,50.5798,94.2379,-49.4494,20.3752,-74.9276,-21.5438,110.0258,14.6793,87.9994,134.7906,2.6402,0.264,2.1245,2.9864,2734.0485,1235.3167,897.2508,4676.5928,32509.7527,35.251,69.0939,-42.3852
8373,5,0,8,26.7339,34.5376,-22.7283,72.8401,116.696,22.6599,88.2844,146.6442,21.1328,17.3003,-4.0412,46.2635,128.1119,19.2925,98.154,159.1238,2.6844,0.1921,2.2757,2.9518,3468.1344,1328.6195,1226.3067,6212.2386,169272.5411,23.7634,103.7297,18.7847
2452,2,0,10,35.2297,27.8955,-6.8135,75.7212,105.6255,46.0699,13.3301,164.4712,-16.3392,32.3722,-79.2754,20.091,126.2029,26.1963,92.6085,169.5596,2.5339,0.4697,1.558,3.0927,3718.1117,2321.3367,298.3722,8693.6465,124050.332,33.2369,94.1515,-17.3503
7495,5,0,10,37.9111,32.1797,-13.2669,78.0046,101.0559,33.6636,30.2562,139.4666,-39.855,34.0139,-94.1933,12.4234,126.9631,21.0727,93.3445,159.9986,2.5231,0.3051,1.7937,3.004,4254.9609,1568.4261,1142.304,6783.2681,349475.3016,34.4646,91.869,-36.2318
4479,3,0,5,65.3595,13.4198,53.1278,89.0413,62.789,43.3791,11.3017,132.9968,-68.3081,21.4984,-93.2874,-38.7424,122.5861,19.4161,94.4073,150.8781,2.6121,0.3071,2.1698,3.0698,3638.5587,2201.4939,574.1609,7017.6617,56988.9498,54.4663,52.3242,-56.9234
4924,3,0,5,66.8788,9.9514,54.3693,81.5613,77.7295,38.6073,21.7501,137.5097,-52.0122,17.3122,-67.2387,-27.8431,121.3597,19.5195,93.3309,151.7501,2.6692,0.2326,2.2253,2.9732,3188.5179,1477.495,1271.4381,5617.9535,38595.4071,55.7323,64.7746,-43.3435
